        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4293.00461 0.0005       0.0005    1    2    0    0    0    0    7    6   a A2"   97    0    1    0    0    0    0    7    6   s A2'    4 21CeCaCo.176
4293.10960 0.0005       0.0005    0    1    1    0    1    0    9    8   a A2"   65    0    0    0    0    0    0   10    9   a A2'    1 21CeCaCo.177
4293.24010 0.0005       0.0005    1    1    0    0    0    0    2    1   s  E"   36    0    0    0    0    0    0    2    1   a  E'    2 21CeCaCo.178
4293.24011 0.0005       0.0005    0    1    1    0    1    0    7    2   s  E'  119    0    0    0    0    0    0    8    4   a  E"    4 21CeCaCo.179
4293.31870 0.0005       0.0005    0    1    0    2    0    2    5    1   a A2'   42    0    0    0    0    0    0    4    0   a A2"    2 21CeCaCo.180
4293.36970 0.0005       0.0005    1    1    0    0    0    0   12    9   a A2'   80    0    0    0    0    0    0   12    9   s A2"    2 21CeCaCo.181
4293.49680 0.0005       0.0005    1    1    0    0    0    0    1    1   s  E"   22    0    0    0    0    0    0    1    1   a  E'    1 21CeCaCo.182
4293.66730 0.0005       0.0005    0    1    1    0    1    0    5    1   s  E"   87    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.183
4293.85210 0.0005       0.0005    0    1    0    2    0    2   10    8   a  E"  128    0    0    0    0    0    0    9    7   a  E'    2 21CeCaCo.184
4293.92210 0.0005       0.0005    1    2    0    0    0    0    4    2   a  E"  124    0    1    0    0    0    0    4    2   s  E'    5 21CeCaCo.185
